"";"ID";"Fund";"Strategy";"Time.Days";"Expected.Yield.Year"
"1";"BB-0001";"BB  AÇÕES AGRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;35;5,83
"2";"BB-0002";"BB AÇÕES ALOCAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES";3;38;24,56
"3";"BB-0003";"BB AÇÕES ALOCAÇÃO ETF FUNDO DE INVESTIMENTO EM AÇÕES";3;38;40,5
"4";"BB-0004";"BB AÇÕES ASG BRASIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;22;-3,06
"5";"BB-0005";"BB AÇÕES BB FUNDO DE INVESTIMENTO";1;29;13,92
"6";"BB-0006";"BB AÇÕES BB SEGURIDADE FUNDO DE INVESTIMENTO EM AÇÕES";1;37;19,11
"7";"BB-0007";"BB AÇÕES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM AÇÕES";3;40;11,96
"8";"BB-0008";"BB AÇÕES BOLSA BRASILEIRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;40;28,59
"9";"BB-0009";"BB AÇÕES BOLSAS ASIÁTICAS EX-JAPÃO FI EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";3;10;0,2
"10";"BB-0010";"BB AÇÕES BOLSAS EUROPEIAS FI EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";1;10;15,52
"11";"BB-0011";"BB TOP AÇÕES BOLSAS GLOBAIS ATIVO FUNDO DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";3;9;4,93
"12";"BB-0012";"BB AÇÕES FX EQUITIES INVESTIMENTO NO EXTERIOR PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI";3;32;8,38
"13";"BB-0013";"BB AÇÕES BRL GLOBAL X SUPERDIVIDENDOS FUNDO DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";3;37;13,86
"14";"BB-0014";"BB AÇÕES BRL UNIVERSAL BRANDS INVESTIMENTO NO EXTERIOR PRIVATE FUNDO DE INVESTIMENTO";3;16;9,24
"15";"BB-0015";"BB AÇÕES CONSTRUÇÃO CIVIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;26;42,49
"16";"BB-0016";"BB AÇÕES CONSUMO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;39;42,58
"17";"BB-0017";"BB AÇÕES DIVIDENDOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;38;25,06
"18";"BB-0018";"BB AÇÕES DIVIDENDOS MIDCAPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;40;27,78
"19";"BB-0019";"BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO";3;36;39,17
"20";"BB-0020";"BB AÇÕES EQUIDADE IS FUNDO DE INVESTIMENTO";1;32;20,65
"21";"BB-0022";"BB AÇÕES EXPORTAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;28;37,1
"22";"BB-0023";"BB AÇÕES GOVERNANÇA IS FUNDO DE INVESTIMENTO";3;39;39,41
"23";"BB-0024";"BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;28;22,28
"24";"BB-0025";"BB TOP AÇÕES INFRAESTRUTURA FUNDO DE INVESTIMENTO DE AÇÕES";3;31;46,8
"25";"BB-0026";"BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO";3;21;30,88
"26";"BB-0027";"BB AÇÕES RETORNO TOTAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;39;33,1
"27";"BB-0028";"BB AÇÕES SELEÇÃO FATORIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;31;31,81
"28";"BB-0029";"BB TOP AÇÕES SETOR FINANCEIRO FUNDO DE INVESTIMENTO";1;20;25,96
"29";"BB-0030";"BB AÇÕES SIDERURGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;34;75,37
"30";"BB-0031";"BB AÇÕES SMALL CAPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;40;41,36
"31";"BB-0032";"BB AÇÕES SUSTENTABILIDADE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES";3;40;43,25
"32";"BB-0033";"BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO";1;24;54,37
"33";"BB-0034";"BB  AÇÕES US BIOTECH BDR NÍVEL I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;24;22,24
"34";"BB-0035";"BB CAMBIAL DOLAR LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;22;32,25
